keys,values
000,e
00100000000,D
001000000010,j
001000000011,Y
00100000010,M
001000000110,J
001000000111,:
0010000010,%
00100000110,4
001000001110,B
001000001111,U
0010000100,E
00100001010,G
00100001011,O
0010000110,?
0010000111,H
001000100,S
001000101,N
00100011,1
001001,g
00101,l
0011,s
0100,r
01010000,A
010100010,2
010100011,T
0101001,.
010101,y
010110,b
010111,v
0110,o
0111,n
10000,d
10001,h
1001,i
1010,a
101100,f
10110100,9
1011010100,q
1011010101,W
10110101100,6
10110101101,I
10110101110,(
10110101111,0
10110110,k
10110111,C
101110,u
10111100000,V
10111100001,)
1011110001,R
101111001,P
10111101,","
10111110,"
"
1011111100,x
10111111010,z
10111111011,5
101111111,ï
110, 
1110,t
111100,m
111101,p
1111100,w
111110100,¿
111110101,½
11111011,-
111111,c
