keys,values
00, 
010,e
0110,s
01110,a
01111,t
1000,o
1001,i
1010,r
10110,n
10111,h
11000,l
11001,d
110100,p
110101,m
110110,c
1101110,u
1101111,y
111000,v
111001,g
111010,","
1110110,f
1110111,w
1111000,.
1111001,b
11110100,C
11110101,1
11110110,-
111101110,”
111101111,“
11111000,"
"
11111001,k
11111010,9
111110110,x
1111101110,’
1111101111,T
111111000,A
111111001,K
111111010,I
1111110110,M
1111110111,0
1111111000,W
1111111001,E
1111111010,D
11111110110,5
111111101110,q
111111101111,U
11111111000,S
11111111001,P
11111111010,O
111111110110,N
111111110111,L
11111111100,H
111111111010,7
111111111011,6
11111111110,4
111111111110,3
111111111111,2
