keys,values
00, 
010,t
0110,i
01110,e
01111,o
1000,n
10010,s
10011,"
"
10100,r
10101,a
101100,.
101101,c
101110,d
1011110,;
1011111,l
11000,f
110010,p
1100110,g
1100111,m
110100,=
110101,y
110110,)
1101110,(
11011110,h
11011111,v
111000,k
1110010,D
11100110,:
11100111,b
1110100,V
11101010,x
11101011,M
1110110,u
11101110,I
111011110,}
111011111,{
1111000,S
11110010,T
11110011,0
11110100,","
11110101,G
11110110,3
111101110,&
111101111,w
11111000,P
111110010,+
111110011,	
11111010,9
111110110,1
1111101110,>
1111101111,/
111111000,-
111111001,z
111111010,*
1111110110,W
11111101110,A
11111101111,<
1111111000,C
1111111001,8
1111111010,4
11111110110,E
11111110111,?
1111111100,!
11111111010,H
111111110110,B
111111110111,2
11111111100,~
111111111010,5
111111111011,_
111111111100,R
1111111111010,O
1111111111011,N
111111111110,F
1111111111110,7
1111111111111,'
