keys,values
00, 
010,e
0110,t
01110,a
01111,i
1000,n
1001,o
1010,r
10110,s
10111,h
11000,d
11001,c
11010,l
110110,u
110111,m
111000,p
111001,g
111010,f
1110110,v
11101110,y
11101111,w
1111000,.
1111001,b
1111010,","
11110110,k
111101110,T
1111011110,A
1111011111,S
11111000,C
111110010,x
1111100110,”
1111100111,“
111110100,W
111110101,"
"
111110110,P
1111101110,U
11111011110,H
11111011111,—
111111000,0
1111110010,-
1111110011,M
1111110100,D
1111110101,1
11111101100,’
11111101101,I
11111101110,B
11111101111,9
1111111000,3
11111110010,J
11111110011,E
11111110100,q
11111110101,Y
11111110110,z
111111101110,F
111111101111,:
11111111000,5
11111111001,2
11111111010,O
111111110110,N
111111110111,L
11111111100,6
111111111010,4
1111111110110,j
1111111110111,R
111111111100,)
111111111101,(
1111111111100,$
1111111111101,G
1111111111110,;
11111111111110,K
111111111111110,7
111111111111111,%
