keys,values
00, 
0100,e
0101,a
0110,t
01110,o
01111,i
1000,s
1001,n
1010,r
10110,h
101110,d
101111,l
11000,c
110010,m
110011,u
110100,f
110101,"
"
110110,p
1101110,g
1101111,v
111000,w
111001,y
1110100,.
1110101,b
1110110,k
11101110,","
111011110,T
111011111,C
1111000,S
11110010,0
111100110,’
111100111,A
11110100,1
111101010,I
111101011,W
11110110,-
111101110,H
1111011110,R
1111011111,P
11111000,N
111110010,9
1111100110,2
1111100111,B
111110100,D
1111101010,·
1111101011,U
111110110,M
1111101110,L
11111011110,:
11111011111,x
111111000,Y
1111110010,G
1111110011,E
1111110100,6
1111110101,4
1111110110,5
11111101110,3
11111101111,O
1111111000,…
11111110010,“
11111110011,/
1111111010,”
11111110110,j
111111101110,V
111111101111,z
11111111000,J
11111111001,?
11111111010,—
111111110110,Z
111111110111,K
11111111100,F
11111111101,)
111111111100,(
111111111101,q
111111111110,8
11111111111100,‘
11111111111101,Q
11111111111110,7
11111111111111,&
