keys,values
0000,n
00010,y
000110,g
00011100,-
0001110100,“
000111010100,!
0001110101010,J
0001110101011,8
00011101011,P
000111011,(
00011110,R
000111110,)
000111111,=
0010,h
0011,r
0100,s
010100,b
01010100,:
010101010000,C
010101010001,5
01010101001,>
0101010101,M
01010101100,S
01010101101,E
01010101110,<
010101011110,4
010101011111,G
0101011,v
010110,m
010111,f
0110,i
011100,w
01110100,T
0111010100,W
0111010101,F
0111010110,]
0111010111,[
0111011,","
01111,c
1000,a
10010,l
100110,p
100111000,U
100111001,j
10011101,k
1001111000,A
10011110010,#
10011110011,N
100111101,I
10011111,'
1010,o
1011,t
110, 
111000000,x
1110000010,B
1110000011,}
111000010,H
1110000110,{
11100001110,’
11100001111,q
1110001,"
"
111001,u
111010,d
1110110,.
111011100,L
11101110100,?
111011101010,3
111011101011,2
111011101100,1
1110111011010,O
1110111011011,0
11101110111,”
11101111,/
1111,e
