keys,values
0000,i
0001,s
0010,a
0011000,=
00110010000,2
00110010001,M
0011001001,3
001100101,P
00110011,j
00110100,I
0011010100,z
0011010101,O
001101011,#
0011011,'
001110,y
0011110,b
001111100,S
001111101,X
0011111100,-
0011111101,H
00111111100,Y
00111111101,8
0011111111,x
010,e
0110,o
0111,r
10000,p
1000100,(
1000101,k
100011,"
"
1001000,)
1001001,v
100101000,L
100101001,:
1001010100,W
100101010100,’
1001010101010,7
1001010101011,6
100101010110,G
1001010101110,C
1001010101111,U
1001010110,R
1001010111,/
1001011,w
100110,c
100111,.
1010,t
10110,l
10111,d
110, 
1110000,","
11100010,q
11100011000,D
11100011001,5
1110001101000,}
1110001101001,{
111000110101,@
11100011011,A
111000111,]
1110010,_
111001100,[
111001101,0
111001110,T
1110011110,1
1110011111,F
111010,u
111011,m
11110,n
1111100,g
1111101,f
111111,h
