keys,values
000000,(
000001,)
00001000,+
00001001,	
0000101,:
000011,y
00010,a
000110,=
000111,m
0010,o
001100000,A
0011000010,?
0011000011,!
00110001,P
0011001,D
001101,g
00111,r
0100,e
0101,i
011000,p
011001,f
011010000,*
011010001,z
01101001,w
01101010,&
01101011,3
011011,l
01110,"
"
011110,;
011111,d
10, 
1100,t
1101000000,E
11010000010,~
110100000110,O
110100000111,'
110100001000,7
110100001001,_
110100001010,N
110100001011,R
1101000011,8
11010001,G
11010010,","
11010011,0
110101,c
1101100,k
110110100,>
110110101,-
1101101100,4
1101101101,C
110110111,/
110111,.
11100,s
11101000,T
11101001,S
11101010,}
11101011,{
11101100000,2
11101100001,B
1110110001,<
111011001,9
11101101,I
1110111,v
11110,n
11111000,u
111110010,1
11111001100,H
111110011010,F
111110011011,5
1111100111,W
11111010,M
11111011,x
11111100,V
11111101,b
1111111,h
