keys,values
0000,"
"
000100000,b
000100001,S
00010001,k
0001001,m
000101,p
000110,]
000111,[
001000000,<
001000001,8
00100001,5
0010001,y
001001,""""
00101,0
0011,o
0100,t
0101,e
01100,d
01101,l
011100000,v
01110000100,P
01110000101,9
0111000011,q
01110001,w
0111001,h
011101,=
011110,i
0111110,1
0111111,g
10, 
11000,)
11001,(
110100,f
110101000,*
11010100100,7
110101001010,3
110101001011,F
110101001100,G
110101001101,M
11010100111,D
110101010,>
110101011,#
1101011,:
110110,s
11011100,-
11011101000,R
11011101001,L
11011101010,U
11011101011,T
11011101100,'
110111011010,C
110111011011,Y
11011101110,N
11011101111,z
110111100,_
110111101,+
11011111,x
111000,n
111001,c
111010,a
111011,u
11110,r
1111100,","
1111101,2
111111,.
