keys,values
00000,u
00001000,T
0000100100,E
0000100101,M
000010011,D
0000101,I
000011,b
0001,s
001,e
0100,i
0101,n
011000,.
0110010,’
011001100,x
011001101,A
011001110000,F
01100111000100,G
01100111000101,Z
0110011100011,9
01100111001,—
0110011101,B
011001111,?
011010,y
0110110,v
0110111,k
01110,l
011110,g
011111,p
1000,o
1001,a
10100,d
101010,f
101011000,S
1010110010,H
1010110011,L
1010110100,;
1010110101,W
101011011000,K
101011011001,P
10101101101,z
10101101110,Y
10101101111,O
1010111,","
1011,t
110000,w
110001,m
110010,c
1100110000,j
11001100010000,/
11001100010001,J
1100110001001,R
110011000101000,2
110011000101001,U
110011000101010,8
110011000101011,7
11001100010110,]
11001100010111,[
11001100011,-
1100110010,N
11001100110,q
110011001110,C
11001100111100,1
11001100111101,0
1100110011111,:
11001101,”
11001110,“
11001111,"
"
11010,h
11011,r
111, 
