keys,values
0,P
1, 
2,S
3,D
4,k
5,m
6,.
7,5
8,s
9,n
10,l
11,f
12,H
13,r
14,i
15,E
16,u
17,”
18,t
19,U
20,I
21,c
22,w
23,x
24,0
25,V
26,o
27,"
"
28,C
29,d
30,e
31,N
32,q
33,T
34,A
35,b
36,g
37,—
38,“
39,2
40,j
41,-
42,","
43,h
44,’
45,a
46,B
47,3
48,v
49,p
50,1
51,4
52,9
53,F
54,W
55,y
56,Ea
57,ar
58,rl
59,ly
60,y 
61, i
62,in
63,n 
64, t
65,th
66,he
67,e 
68, p
69,pa
70,an
71,nd
72,de
73,em
74,mi
75,ic
76,"c,"
77,", "
78, o
79,on
80,ne
81,e t
82,the
83,eo
84,or
85,ry
86,y a
87,as
88,s 
89, to
90,o 
91, w
92,wh
93,hy
94,y y
95,yo
96,ou
97,un
98,ng
99,g 
100, A
101,Am
102,me
103,er
104,ri
105,ica
106,ans
107,s s
108,se
109,ee
110,eme
111,ed
112,d 
113, to 
114, b
115,be
116,e h
117,ha
118,ard
119,der
120,r 
121, h
122,hi
123,it
124,t 
125, by
126,y t
127,the 
128, n
129,no
130,ov
131,ve
132,el
133,l 
134, c
135,co
136,oro
137,ona
138,av
139,vi
140,ir
141,ru
142,us
143,s t
144,tha
145,an 
146, te
147,een
148,ns
149,s a
150,and
151,d t
152,tw
153,we
154,en
155,nt
156,ty
157,ys
158,so
159,om
160,met
161,thi
162,ing
163,gs
164,s i
165,in 
166, ot
167,ther
168,r c
169,cou
170,unt
171,tr
172,rie
173,es
174,s w
175,wa
176,as 
177, hi
178,ig
179,gh
180,h 
181, r
182,ra
183,at
184,te
185,es 
186, of
187,f 
188, v
189,va
190,ap
191,pi
192,ing.
193,. 
194, N
195,No
196,ow
197,"w,"
198,", t"
199,there
200,e’
201,’s
202,s d
203,da
204,ata
205,a 
206, to b
207,ba
208,ac
209,ck
210,k 
211, it
212,t u
213,up
214,p.
215,".
"
216,"
I"
217,In
218,n a
219,a s
220,su
221,ur
222,rv
223,vey
224,y o
225,of
226,f 4
227,"4,"
228,",3"
229,35
230,51
231,1 
232, Am
233,mer
234,ric
235,ca
236,ans 
237, a
238,ag
239,ge
240,es 1
241,13
242,3 
243, to 2
244,24
245,"4, "
246, th
247,ho
248,os
249,se 
250, wh
251,ho 
252, u
253,use
254,ed 
255, e
256,e-
257,-c
258,ci
259,iga
260,are
261,et
262,tt
263,tes
264,s we
265,ere
266,e s
267,si
268,ign
269,ni
270,if
271,fi
272,ican
273,ntl
274,ly 
275, m
276,mo
277,ore
278,e l
279,li
280,ik
281,ke
282,ely
283,y to
284,o b
285,be 
286, d
287,di
288,ia
289,agn
290,nos
291,sed
292,d w
293,wi
294,ith
295,h C
296,Co
297,ovi
298,id
299,d-
300,-1
301,19
302,9 
303, tha
304,an t
305,tho
306,ose
307,e w
308,who
309,o d
310,did
311,dn
312,n’
313,’t
314,t.
315,. I
