keys,values
00000,\
000010,","
0000110,k
0000111,{
0001,e
00100,s
00101,i
00110,t
001110,p
0011110,5
00111110,9
00111111,g
01000,r
01001000,P
01001001,G
0100101,8
0100110,7
0100111,v
01010,c
01011,a
0110000000,(
0110000001,+
011000001,X
01100001,L
0110001,I
011001,.
01101,"
"
0111,""""
10, 
1100000,m
110000100,J
110000101,*
11000011,U
110001,b
1100100,f
1100101,-
110011,/
110100,:
11010100,z
110101010,D
110101011,S
1101011,4
110110,h
110111,d
1110000,1
1110001,$
1110010,u
1110011,2
1110100,6
111010100,N
111010101,`
1110101100,y
1110101101,A
111010111,0
111011000,]
1110110010,E
1110110011,#
11101101,R
1110111000,_
1110111001,w
1110111010,F
11101110110,M
11101110111,)
11101111,x
111100,o
111101,l
111110,n
1111110,3
111111100,[
111111101,B
11111111,}
