keys,values
00, 
010,e
0110,a
01110,t
01111,i
1000,o
1001,n
1010,s
10110,r
10111,c
1100,l
11010,h
110110,d
1101110,f
1101111,u
111000,p
111001,v
111010,g
1110110,y
1110111,m
1111000,w
1111001,b
1111010,","
11110110,.
11110111,k
11111000,"
"
111110010,0
111110011,C
111110100,I
1111101010,1
1111101011,’
111110110,T
1111101110,-
11111011110,D
11111011111,P
1111110000,”
1111110001,“
1111110010,V
1111110011,A
1111110100,x
1111110101,W
1111110110,j
11111101110,S
111111011110,9
111111011111,%
1111111000,z
11111110010,N
11111110011,B
11111110100,3
11111110101,q
11111110110,M
111111101110,5
111111101111,O
11111111000,H
11111111001,2
11111111010,—
111111110110,R
111111110111,F
11111111100,?
111111111010,4
1111111110110,U
1111111110111,K
111111111100,J
1111111111010,Y
1111111111011,E
1111111111100,:
1111111111101,6
11111111111100,Z
11111111111101,L
11111111111110,G
11111111111111,7
