keys,values
000, 
001,e
010,o
0110,t
01110,s
01111,a
1000,r
1001,i
1010,n
10110,l
10111,h
11000,y
110010,d
110011,u
11010,m
110110,c
1101110,g
1101111,f
111000,b
111001,w
111010,p
1110110,","
11101110,.
11101111,"
"
1111000,v
1111001,k
11110100,P
11110101,’
11110110,D
111101110,B
111101111,S
11111000,I
111110010,A
111110011,2
111110100,1
111110101,0
111110110,T
1111101110,M
1111101111,:
111111000,—
1111110010,x
1111110011,q
1111110100,L
1111110101,G
1111110110,C
11111101110,”
111111011110,“
111111011111,‘
11111110000,·
11111110001,z
11111110010,W
11111110011,O
11111110100,N
11111110101,H
11111110110,?
11111110111,9
11111111000,8
11111111001,7
11111111010,4
11111111011,/
11111111100,-
11111111101,)
11111111110,(
11111111111,!
