keys,values
000,e
00100,u
001010,y
0010110,.
001011100,S
00101110100,%
00101110101,;
00101110110,H
00101110111,0
0010111100,—
0010111101,x
0010111110,G
00101111110,R
001011111110,‘
001011111111,O
0011,s
0100,r
01010,d
01011,l
0110,n
0111,o
10000,c
100010,g
10001100000,3
10001100001,q
1000110001,9
100011001,T
1000110100,P
1000110101,”
100011011,I
1000111,b
1001,i
1010,t
1011,a
110000,f
110001,p
11001,h
1101000,v
110100100,"
"
110100101,M
110100110,-
1101001110,“
11010011110,5
11010011111,2
110101000,C
110101001,’
11010101,k
1101011,w
110110,m
110111000000,?
1101110000010,7
1101110000011,V
11011100001,B
11011100010,U
110111000110,8
110111000111,z
1101110010,D
1101110011000,J
1101110011001,…
1101110011010,)
1101110011011,(
11011100111,:
1101110100,A
1101110101,1
11011101100,N
11011101101,F
11011101110,j
11011101111,W
1101111,","
111, 
