keys,values
000,e
0010,s
0011,r
010000,v
01000100,S
01000101,A
0100011000,3
01000110010,4
01000110011,L
010001101,0
010001110,—
010001111,U
01001,l
0101,o
01100,c
011010,f
011011000,H
0110110010,I
0110110011,B
0110110100,’
01101101010,6
01101101011,N
011011011,P
0110111000,9
01101110010,O
011011100110,G
011011100111,;
011011101,"
"
01101111,T
0111,n
1000,i
10010,d
100110,g
1001110,","
1001111,b
1010,a
101100,p
101101000,W
101101001,”
101101010,“
1011010110,1
10110101110,:
10110101111,5
1011011,.
10111,h
1100,t
110100,m
1101010,w
1101011000,D
1101011001,M
11010110100,F
11010110101,z
11010110110,2
1101011011100,K
11010110111010,%
11010110111011,7
110101101111,(
11010111,k
1101100,y
110110100,x
11011010100,q
110110101010,j
110110101011,)
11011010110,Y
110110101110,R
110110101111,$
1101101100,-
11011011010,J
11011011011,E
110110111,C
110111,u
111, 
