keys,values
00, 
010,e
0110,t
01110,a
01111,o
1000,n
1001,i
1010,s
10110,r
10111,c
1100,h
11010,d
110110,l
1101110,v
1101111,u
111000,p
111001,g
111010,f
1110110,m
1110111,y
1111000,w
1111001,.
1111010,","
11110110,b
111101110,’
111101111,-
11111000,k
11111001,A
111110100,T
111110101,1
111110110,"
"
1111101110,C
1111101111,9
111111000,0
1111110010,%
1111110011,x
1111110100,R
1111110101,D
11111101100,W
11111101101,P
11111101110,G
11111101111,6
1111111000,5
11111110010,V
11111110011,S
11111110100,O
11111110101,I
11111110110,F
111111101110,3
111111101111,”
11111111000,“
111111110010,z
111111110011,U
11111111010,N
111111110110,E
111111110111,7
11111111100,4
111111111010,2
1111111110110,–
11111111101110,q
11111111101111,Y
111111111100,M
1111111111010,K
1111111111011,B
1111111111100,:
1111111111101,8
1111111111110,)
1111111111111,(
