keys,values
000,e
0010,n
0011,s
0100,i
01010,c
0101100,k
0101101,","
010111,g
01100,l
011010,p
0110110000,…
01101100010,(
0110110001100,7
0110110001101,&
0110110001110,Q
0110110001111,‘
011011001,B
01101101,1
01101110,A
01101111000,K
01101111001,—
01101111010,Z
01101111011,)
011011111,9
0111,o
100000,"
"
100001,f
10001,d
1001,t
1010,a
10110000,’
101100010,2
101100011,N
1011001,b
1011010000,O
1011010001,5
1011010010,3
10110100110,F
10110100111,z
101101010,P
101101011,R
10110110,S
10110111,0
10111,h
110, 
111000,u
111001,m
11101000000,?
11101000001,J
1110100001,E
111010001,H
11101001,C
1110101000,4
1110101001,Y
1110101010,G
1110101011,x
11101011,T
1110110,.
1110111000,6
1110111001,:
11101110100,”
11101110101,V
11101110110,j
111011101110,8
111011101111,q
111011110,W
111011111,-
11110,r
1111100,y
1111101,w
1111110000,·
1111110001,U
1111110010,L
1111110011,M
111111010,I
11111101100,“
11111101101,/
1111110111,D
1111111,v
