keys,values
00, 
010,e
0110,a
01110,i
01111,t
1000,s
1001,o
1010,r
10110,n
10111,l
11000,h
11001,d
11010,c
110110,u
110111,m
11100,v
111010,p
1110110,f
1110111,y
111100,g
1111010,","
11110110,w
111101110,b
111101111,.
11111000,k
11111001,-
111110100,C
111110101,S
111110110,M
1111101110,"
"
11111011110,’
11111011111,H
111111000,A
1111110010,I
1111110011,9
111111010,1
1111110110,T
11111101110,”
11111101111,“
1111111000,—
1111111001,x
1111111010,V
11111110110,W
111111101110,U
111111101111,R
11111111000,K
11111111001,J
11111111010,D
111111110110,j
111111110111,G
11111111100,F
111111111010,2
1111111110110,q
1111111110111,B
111111111100,0
1111111111010,z
11111111110110,Q
11111111110111,P
1111111111100,:
1111111111101,3
1111111111110,/
11111111111110,)
11111111111111,(
