keys,values
00, 
010,e
0110,t
01110,a
01111,i
1000,n
1001,o
1010,r
10110,s
10111,h
11000,d
11001,l
11010,c
110110,p
1101110,m
1101111,u
111000,f
111001,v
111010,b
1110110,y
1110111,g
1111000,w
1111001,.
1111010,-
11110110,"
"
111101110,","
111101111,C
11111000,k
111110010,9
111110011,A
11111010,1
111110110,ï
1111101110,¿
1111101111,½
111111000,P
111111001,T
1111110100,2
1111110101,S
1111110110,N
11111101110,x
11111101111,R
1111111000,q
11111110010,W
11111110011,H
11111110100,E
11111110101,?
11111110110,5
111111101110,%
111111101111,z
11111111000,V
11111111001,I
11111111010,6
111111110110,0
111111110111,)
11111111100,(
111111111010,O
1111111110110,M
1111111110111,G
111111111100,D
1111111111010,4
1111111111011,j
1111111111100,Y
1111111111101,U
1111111111110,J
11111111111110,B
11111111111111,:
