keys,values
000,e
00100,c
001010,I
001011,y
0011,s
0100,n
0101,i
01100,m
011010,.
01101100000,9
01101100001,)
0110110001,-
011011001,x
0110110100,:
01101101010,(
011011010110,0
011011010111,P
011011011000,L
011011011001,1
01101101101,z
0110110111000,5
0110110111001,K
0110110111010,4
0110110111011,2
0110110111100,…
0110110111101,6
011011011111,J
01101110,A
01101111000,B
0110111100100,N
0110111100101,F
0110111100110,G
0110111100111,!
0110111101,”
0110111110,“
0110111111,S
0111,o
100000,f
100001,p
10001,l
1001,a
10100,d
101010,w
1010110,v
1010111,","
101100,g
1011010,k
10110110,’
1011011100,?
1011011101,j
1011011110000,H
1011011110001,C
101101111001,O
101101111010,3
101101111011,—
1011011111,W
10111,h
1100,t
11010,r
11011000,"
"
110110010,T
1101100110,M
11011001110,E
11011001111,q
1101101,b
110111,u
111, 
