keys,values
0,P
1, 
2,;
3,S
4,D
5,k
6,m
7,.
8,s
9,n
10,l
11,f
12,H
13,r
14,i
15,E
16,u
17,”
18,t
19,U
20,I
21,c
22,w
23,x
24,8
25,0
26,o
27,"
"
28,C
29,d
30,e
31,L
32,M
33,N
34,T
35,A
36,b
37,g
38,“
39,G
40,2
41,j
42,?
43,","
44,h
45,’
46,a
47,B
48,3
49,v
50,Y
51,p
52,1
53,9
54,F
55,z
56,W
57,y
58,%
59,My
60,y 
61, e
62,en
63,nt
64,ti
65,ir
66,re
67,e 
68, f
69,fa
70,am
71,mi
72,il
73,ly
74,y i
75,is
76,s 
77, fr
78,ro
79,om
80,m 
81, E
82,El
83,l 
84, S
85,Sa
86,al
87,lv
88,va
89,ad
90,do
91,or
92,"r,"
93,", "
94, a
95,a 
96, t
97,tin
98,ny
99,y c
100,co
101,ou
102,un
103,ntr
104,ry
105,y in
106,n 
107, C
108,Ce
109,ent
110,tr
111,ra
112,al 
113, A
114,Am
115,me
116,er
117,ri
118,ic
119,ca
120,a.
121,. 
122, Y
123,Yo
124,ou 
125, m
126,mig
127,gh
128,ht
129,t 
130, k
131,kn
132,no
133,ow
134,w 
135, i
136,it
137,t a
138,as
139,s t
140,th
141,he
142,e h
143,ho
144,ome
145,e o
146,of
147,f 
148, p
149,pu
150,up
151,pus
152,sa
153,"as,"
154,", p"
155,pa
156,an
157,n c
158,con
159,n p
160,po
161,ol
162,ll
163,lo
164,"o,"
165,", o"
166,or 
167, mo
168,ore
169,e r
170,rec
171,ce
172,entl
173,"ly,"
174,", a"
175,a “
176,“s
177,sh
178,hi
179,ith
180,hol
181,le
182,e”
183,” 
184, pe
185,er 
186, th
187,he 
188, P
189,Pr
190,res
191,si
192,id
193,de
194,ent 
195, o
196,of 
197, the
198,e U
199,Un
200,ni
201,ite
202,ed
203,d 
204, St
205,ta
206,at
207,te
208,es
209,s.
210,. S
211,So
212,o 
213, tha
214,at’
215,’s
216,s n
217,nic
218,ce.
219,".
"
220,"
E"
221,El 
222, Sa
223,alv
224,vad
225,dor
226,r 
227, h
228,ha
229,"as, "
230, thr
231,rou
232,ug
233,gho
234,out
235,t i
236,its
237,s h
238,his
239,st
240,to
241,ory
242,"y,"
243,", b"
244,be
245,ee
246,en 
247, a 
248, c
249,cou
250,unt
251,try
252,y w
253,wh
254,her
255,re 
256, the 
257, ma
258,aj
259,jo
260,ori
261,ity
262,y o
263,of t
264,the
265,e p
266,pop
267,pul
268,la
269,ati
270,io
271,on
272,n l
273,li
274,iv
275,ve
276,es 
277, in
278,n po
279,ov
280,ver
281,rt
282,ty
283,y wh
284,hil
285,le 
286, a s
287,sm
288,ma
289,all
290,l f
291,fe
292,ew
293,w e
294,enj
295,joy
296,y e
297,ex
298,xc
299,ces
300,ss
301,siv
302,ve 
303, w
304,we
305,ea
306,alt
307,th.
308,. T
309,Th
310,here
311,e’
312,’s 
