keys,values
00, 
010,e
0110,t
01110,o
01111,a
1000,n
1001,i
1010,r
10110,s
10111,h
11000,l
11001,d
11010,c
110110,u
1101110,m
1101111,y
11100,g
111010,f
1110110,w
1110111,p
111100,.
1111010,b
11110110,v
11110111,k
11111000,I
11111001,","
11111010,’
111110110,"
"
111110111,T
111111000,W
111111001,M
1111110100,x
1111110101,A
1111110110,—
11111101110,Y
11111101111,q
1111111000,S
11111110010,0
11111110011,z
11111110100,O
11111110101,B
11111110110,?
11111110111,-
11111111000,”
11111111001,“
11111111010,H
111111110110,C
111111110111,G
111111111000,F
111111111001,E
111111111010,:
1111111110110,5
11111111101110,j
11111111101111,V
1111111111000,R
11111111110010,P
11111111110011,N
1111111111010,L
11111111110110,D
11111111110111,8
1111111111100,3
11111111111010,2
11111111111011,1
1111111111110,)
11111111111110,(
11111111111111,$
