keys,values
000,e
0010,r
001100,","
001101,w
00111000,I
001110010,M
001110011,9
00111010,C
00111011,”
00111100,“
001111010000,2
001111010001,7
001111010010,5
001111010011,:
0011110101,O
00111101100,U
00111101101,R
0011110111,x
00111110,-
001111110,1
0011111110,H
00111111110,L
00111111111,3
0100,i
0101,s
0110,n
01110,d
01111,l
1000,o
1001,a
101000,g
101001,p
101010,f
101011,y
1011,t
1100000,b
11000010,’
110000110,D
11000011100,?
11000011101,J
1100001111,0
110001,m
11001,h
1101000,.
110100100,W
1101001010000,V
1101001010001,6
110100101001,K
110100101010,F
110100101011,)
1101001011,B
11010011,k
110101,u
1101100,v
11011010000,q
11011010001,—
1101101001000,Y
1101101001001,z
110110100101,(
11011010011,j
110110101,"
"
1101101100,A
110110110100,E
110110110101,G
11011011011,P
11011011100,S
11011011101,N
1101101111,T
110111,c
111, 
