keys,values
000,e
0010,r
0011,n
0100,s
01010000000,6
01010000001,F
0101000001,:
0101000010,R
0101000011,E
010100010,M
010100011,2
0101001,’
010101,g
01011000,C
010110010,1
010110011,H
010110100000,J
010110100001,/
010110100010,)
010110100011,(
0101101001,S
0101101010,I
0101101011,A
01011011000,4
010110110010,O
010110110011,8
010110110100,z
010110110101,V
01011011011,W
01011011100,U
010110111010,L
010110111011,N
01011011110,—
010110111110,3
010110111111,7
010111,w
0110,i
01110,d
01111,h
1000,t
1001,a
101000000,x
1010000010,0
1010000011,Y
10100001,-
1010001,.
101001,f
10101,l
1011000,k
1011001,b
1011010000,B
1011010001,9
101101001,T
10110101,"
"
1011011,","
101110,m
1011110,v
1011111000,q
1011111001,G
101111101,“
101111110,”
1011111110,P
1011111111,D
1100,o
110100,y
110101,p
110110,c
110111,u
111, 
