keys,values
00, 
010,e
0110,t
01110,a
01111,n
1000,o
1001,s
1010,r
10110,i
10111,d
11000,h
11001,l
11010,c
110110,u
1101110,w
1101111,m
111000,p
111001,y
111010,f
1110110,g
11101110,.
11101111,b
1111000,v
1111001,","
11110100,k
11110101,’
11110110,N
111101110,"
"
1111011110,Z
1111011111,T
11111000,”
111110010,“
1111100110,A
1111100111,W
111110100,-
111110101,x
111110110,C
1111101110,S
1111101111,M
111111000,I
1111110010,U
1111110011,O
111111010,1
1111110110,9
11111101110,L
11111101111,—
1111111000,z
1111111001,P
11111110100,D
11111110101,4
11111110110,V
111111101110,H
111111101111,E
11111111000,:
11111111001,2
111111110100,R
111111110101,J
111111110110,G
111111110111,B
111111111000,6
111111111001,5
111111111010,3
111111111011,0
111111111100,)
111111111101,(
1111111111100,–
1111111111101,q
1111111111110,j
11111111111110,F
11111111111111,8
