keys,values
000000000,6
000000001,G
00000001,C
0000001,-
0000010,’
000001100,D
000001101,R
00000111,"
"
000010,w
000011,y
0001,s
0010,i
00110000,1
001100010,x
0011000110,F
0011000111,O
0011001000,S
0011001001,I
0011001010,3
0011001011,V
00110011,T
001101,m
0011100,b
0011101,","
001111,g
010,e
0110,n
01110,l
01111,d
1000,o
100100,f
1001010,.
100101100,%
100101101,9
1001011100,W
100101110100,8
100101110101,:
100101110110,)
100101110111,(
100101111,0
100110,p
10011100000,z
10011100001,2
10011100010,U
100111000110,K
100111000111,B
10011100100,7
10011100101,E
100111001100,Y
100111001101,–
100111001110,M
100111001111,q
1001110100,5
10011101010,N
10011101011,4
1001110110,P
10011101110,”
10011101111,“
10011110,k
10011111,A
1010,a
1011,t
11000,h
110010,u
110011,v
11010,c
11011,r
111, 
