keys,values
00000,y
00001,u
0001,r
0010,h
0011,s
010000,v
010001,.
0100100,S
010010100,x
0100101010,H
0100101011,z
01001011,T
0100110,’
0100111,k
0101,i
0110,n
0111,o
100000,w
100001,f
10001,d
1001,a
101000,g
1010010000,Y
1010010001,C
101001001,U
101001010,E
1010010110,j
1010010111,“
1010011,","
10101,l
1011,t
110000,c
1100010,b
110001100,A
1100011010,M
11000110110,B
110001101110,N
110001101111,L
110001110,I
110001111000,2
110001111001,1
110001111010,;
110001111011,9
11000111110,?
11000111111,D
110010,m
1100110000,W
1100110001,P
110011001,"
"
11001101000,G
11001101001,%
1100110101,0
1100110110,”
11001101110,8
110011011110,3
110011011111,F
1100111,p
1101,e
111, 
