keys,values
0000,l
000100000,C
000100001,q
00010001,1
0001001,P
00010100,2
00010101,I
0001011,k
00011,y
0010,n
00110,d
001110,w
001111,b
0100,r
0101,i
0110,a
0111,s
1000,t
10010000,S
1001000100,”
1001000101,—
100100011,T
1001001,v
100101,f
100110,g
100111000,:
100111001,M
10011101,B
1001111,.
1010,o
101100,c
1011010,"
"
1011011,","
10111,h
110, 
111000,u
111001,m
1110100,p
11101010,D
11101011,’
11101100000,“
11101100001,W
11101100010,)
11101100011,(
1110110010,L
11101100110,9
11101100111,-
11101101000,8
11101101001,!
11101101010,‘
11101101011,O
11101101100,H
11101101101,z
11101101110,/
11101101111,·
1110111000,x
11101110010,4
11101110011,7
111011101,0
111011110,A
1110111110,G
11101111110,N
11101111111,?
1111,e
