keys,values
0,P
1, 
2,S
3,D
4,k
5,m
6,:
7,.
8,5
9,s
10,n
11,l
12,f
13,H
14,r
15,i
16,u
17,)
18,E
19,”
20,t
21,U
22,I
23,w
24,c
25,8
26,x
27,0
28,V
29,o
30,"
"
31,C
32,d
33,J
34,e
35,L
36,–
37,M
38,N
39,T
40,q
41,A
42,O
43,b
44,Z
45,—
46,g
47,6
48,“
49,G
50,2
51,j
52,-
53,","
54,h
55,’
56,a
57,R
58,B
59,3
60,v
61,1
62,p
63,4
64,9
65,F
66,z
67,W
68,(
69,y
70,Tu
71,ue
72,es
73,sd
74,da
75,ay
76,"y,"
77,", "
78, N
79,Ne
80,ew
81,w 
82, Z
83,Ze
84,ea
85,al
86,la
87,an
88,nd
89,d 
90, c
91,co
92,on
93,nf
94,fi
95,ir
96,rm
97,me
98,ed
99,d f
100,fo
101,ou
102,ur
103,r 
104, n
105,ne
106,ew 
107, co
108,or
109,ro
110,ona
111,av
112,vi
113,iru
114,us
115,s 
116, ca
117,as
118,se
119,es 
120, —
121,— 
122, i
123,it
124,ts
125,s f
126,fir
127,rs
128,st
129,t 
130, s
131,si
132,in
133,nc
134,ce
135,e 
136, M
137,Ma
138,ay 
139, 1
140,1.
141,. 
142, T
143,Th
144,ha
145,at
146,t m
147,mea
148,ans
149,s t
150,th
151,he
152,er
153,re
154,e w
155,we
156,ere
157,e 1
158,10
159,02
160,2 
161, d
162,day
163,ys
164,s d
165,du
166,uri
167,ing
168,g 
169, w
170,wh
171,hi
172,ic
173,ch
174,h 
175, t
176,the
177,ere 
178, wa
179,as 
180, no
181,o 
182, com
183,mm
184,mu
185,un
186,ni
187,ity
188,y 
189, sp
190,pr
191,rea
192,ad
193,d o
194,of
195,f 
196, C
197,Co
198,ov
199,vid
200,d-
201,-1
202,19
203,9 
204, in
205,n 
206, th
207,he 
208, is
209,sl
210,lan
211,nd 
212, na
213,ati
214,io
215,on.
216,. W
217,Wi
218,ith
219,hin
220,n t
221,the 
222, sa
223,am
224,me 
225, p
226,pe
227,eri
228,iod
229,d of
230,f t
231,ti
232,im
233,"me,"
234,", t"
235,the U
236,Un
237,nit
238,te
239,ed 
240, S
241,St
242,ta
243,ate
244,es r
245,reac
246,che
247,ed r
248,rec
249,cor
250,rd
251,d h
252,hig
253,gh
254,h n
255,nu
256,um
257,mb
258,be
259,ers
260,s o
261,of 
262, ne
263,ew c
264,ca
265,ase
266,es.
267,. T
268,To
269,od
270,day 
271, the
272,e U
273,U.
274,.S
275,S.
276,. r
277,reco
278,ord
279,de
280,ed 4
281,48
282,"8,"
283,",6"
284,69
285,90
286,0.
287,".
"
288,"
I"
289,It
290,t’
291,’s
292,s ob
293,bv
294,vio
295,ous
296,s fr
297,rom
298,m 
299, the 
300, r
301,ra
302,ap
303,pi
304,id
305,d w
306,wa
307,ay N
308,New
309,w Z
310,Zea
311,ala
312,and
313,d r
314,res
315,sp
