keys,values
00000,m
000010,","
000011,v
000100,"
"
00010100000,9
00010100001,G
00010100010,B
00010100011,U
0001010010,3
0001010011,R
0001010100,'
0001010101,I
0001010110,F
0001010111,z
000101100,E
000101101,O
0001011100,-
0001011101,1
000101111,/
00011,l
001,e
010000,y
010001,g
01001,d
010100,b
0101010,w
01010110,x
0101011100,:
0101011101,S
010101111,P
01011,p
0110,r
0111,o
100, 
1010,n
1011,a
1100,i
1101,t
111000,f
11100100,C
11100101,.
111001100,T
1110011010,k
11100110110,4
111001101110,A
111001101111,@
11100111,j
11101,c
111100,u
111101,h
11111,s
