keys,values
00000,c
0000100000,D
0000100001,O
000010001,Y
000010010,S
000010011,P
0000101,’
00001100,A
0000110100,z
0000110101,M
000011011,C
0000111,k
0001,s
001,e
01000,u
01001,d
0101,i
0110,a
0111,n
100000000,W
100000001000,5
100000001001,2
10000000101,R
10000000110,)
10000000111,(
100000010,B
10000001100,-
10000001101,G
1000000111,q
10000010000,—
100000100010,”
100000100011,“
100000100100,#
100000100101,3
100000100110,!
100000100111,4
1000001010,1
1000001011,H
10000011,0
100001,f
100010,.
1000110,","
100011100,x
1000111010,?
1000111011,j
10001111,T
1001,o
10100,l
101010,y
101011,m
1011000,v
10110010000,L
10110010001,J
1011001001,N
101100101,I
10110011,"
"
101101,g
10111,h
1100,t
110100,p
1101010,w
1101011,b
11011,r
111, 
