keys,values
00, 
0100,""""
0101,e
0110,"
"
01110,a
011110,c
011111,r
10000,t
10001,i
10010,s
100110,\
100111,o
10100,n
101010,l
101011,d
10110,h
101110,:
1011110,/
1011111,b
110000,.
110001,p
110010,3
1100110,","
1100111,u
110100,6
1101010,2
1101011,1
110110,$
1101110,4
11011110,f
11011111,-
111000,m
1110010,v
11100110,I
11100111,8
1110100,7
1110101,5
1110110,}
11101110,{
111011110,k
111011111,x
1111000,R
11110010,z
11110011,U
11110100,g
11110101,P
11110110,L
111101110,G
1111011110,9
1111011111,`
11111000,]
111110010,[
111110011,S
11111010,N
111110110,D
111110111,B
111111000,0
111111001,X
111111010,J
1111110110,*
1111110111,y
1111111000,w
1111111001,_
1111111010,F
1111111011,E
1111111100,A
1111111101,#
11111111100,M
11111111101,+
11111111110,)
11111111111,(
