keys,values
00, 
010,e
0110,t
01110,i
01111,a
1000,n
1001,o
1010,r
10110,s
10111,c
11000,p
11001,d
11010,l
110110,m
110111,h
111000,u
111001,f
111010,g
1110110,b
1110111,y
111100,v
1111010,","
1111011,"
"
1111100,w
11111010,j
111110110,C
111110111,.
11111100,x
111111010,T
1111110110,P
11111101110,/
11111101111,k
1111111000,O
1111111001,E
11111110100,S
11111110101,:
11111110110,1
11111110111,-
11111111000,z
11111111001,R
11111111010,I
111111110110,F
111111110111,4
11111111100,3
111111111010,'
111111111011,U
111111111100,G
111111111101,B
111111111110,A
1111111111110,@
1111111111111,9
