keys,values
0000,r
0001,a
001,e
01000,u
010010,f
0100110000,5
0100110001,”
010011001,V
01001101,’
0100111,-
0101,n
0110,o
01110,l
01111,d
1000,i
1001,s
101000,v
1010010,.
10100110,1
10100111,"
"
1010100000,“
10101000010,W
10101000011,N
10101000100,T
10101000101,E
10101000110,U
10101000111,D
1010100100,F
10101001010,0
10101001011,2
1010100110,H
1010100111,A
1010101000,4
10101010010,P
10101010011,B
101010101,x
101010110,q
1010101110,S
1010101111,j
101011,m
1011,t
110, 
111000,y
1110010,w
1110011,","
111010,c
111011,g
11110,h
11111000,b
111110010,I
111110011,9
11111010,k
111110110,C
1111101110,—
1111101111,3
111111,p
