keys,values
00, 
010,e
0110,t
01110,o
01111,a
1000,i
1001,s
1010,r
10110,h
10111,n
11000,l
11001,c
11010,y
110110,d
1101110,u
1101111,p
111000,w
111001,f
111010,m
1110110,b
11101110,g
11101111,.
1111000,"
"
1111001,","
11110100,v
11110101,/
11110110,'
111101110,k
111101111,T
11111000,R
111110010,:
111110011,-
111110100,L
111110101,H
111110110,x
1111101110,I
11111011110,j
11111011111,U
111111000,=
1111110010,)
1111110011,(
1111110100,}
1111110101,{
1111110110,B
11111101110,A
111111011110,]
111111011111,[
1111111000,F
11111110010,W
11111110011,M
1111111010,”
11111110110,“
111111101110,’
111111101111,q
11111111000,?
11111111001,N
11111111010,#
111111110110,S
1111111101110,P
1111111101111,E
11111111100,>
111111111010,<
1111111110110,3
1111111110111,2
111111111100,1
1111111111010,G
1111111111011,5
1111111111100,4
1111111111101,O
11111111111100,C
11111111111101,0
11111111111110,!
111111111111110,J
111111111111111,8
