keys,values
0,P
1, 
2,;
3,S
4,K
5,k
6,D
7,m
8,:
9,.
10,s
11,n
12,l
13,f
14,H
15,r
16,i
17,u
18,E
19,)
20,7
21,”
22,t
23,I
24,c
25,w
26,x
27,0
28,V
29,o
30,"
"
31,C
32,d
33,e
34,L
35,M
36,N
37,T
38,q
39,A
40,O
41,b
42,g
43,—
44,“
45,6
46,2
47,j
48,-
49,h
50,","
51,R
52,a
53,’
54,B
55,v
56,p
57,1
58,9
59,F
60,z
61,W
62,(
63,y
64,Wi
65,it
66,th
67,h 
68, t
69,the
70,e 
71, r
72,re
73,ec
74,ce
75,en
76,nt
77,t 
78, s
79,su
80,ur
81,rg
82,ge
83,e i
84,in
85,n 
86, c
87,co
88,on
89,nv
90,ve
91,er
92,rs
93,sa
94,at
95,ti
96,io
97,on 
98, a
99,ab
100,bo
101,ou
102,ut
103,t m
104,ma
105,ak
106,ki
107,ing
108,g 
109, th
110,he
111,e r
112,ri
113,ig
114,gh
115,ht
116,t d
117,de
118,eci
119,is
120,si
121,ion
122,ns
123,s 
124, i
125,in 
126, a 
127, ti
128,im
129,me
130,e o
131,of
132,f 
133, su
134,uc
135,ch
136,h u
137,un
138,np
139,pr
140,rec
141,ced
142,den
143,nte
144,ed
145,d 
146, u
147,unc
148,cer
149,rt
150,ta
151,ai
152,int
153,ty
154,"y,"
155,", "
156, it
157,t a
158,ap
159,pp
160,pe
161,ea
162,ar
163,rs 
164, h
165,hea
166,ad
167,dl
168,li
169,ine
170,es
171,s a
172,are
173,e f
174,fe
175,ee
176,edi
177,ing 
178, an
179,nti
180,i-
181,-s
182,sc
183,ci
184,ie
185,enc
186,ce 
187, m
188,mo
189,ov
190,vem
191,men
192,nts
193,s l
194,lik
195,ke
196,e t
197,they
198,y 
199, ha
200,av
201,ve 
202, b
203,be
204,een
205,n k
206,kn
207,no
208,ow
209,wn
210,n t
211,to
212,o 
213, f
214,fee
215,ed 
216, the
217,e a
218,an
219,nti-
220,-v
221,va
222,ax
223,x 
224, cr
225,ru
226,us
227,sad
228,de.
229,. 
230, R
231,Re
232,ece
233,ent
234,tl
235,ly
236,"y, "
237, the 
238, W
239,Wh
240,hi
241,ite
242,e H
243,Ho
244,ous
245,se
246,e p
247,pre
248,ess
249,s s
250,sec
251,cr
252,ret
253,tar
254,ry
255,y K
256,Ka
257,ay
258,yl
259,le
260,ei
261,igh
262,h M
263,Mc
264,cE
265,En
266,na
267,any
268,y t
269,tol
270,ld
271,d j
272,jo
273,our
274,rn
275,nal
276,lis
277,st
278,ts
279,s t
280,tha
281,at 
282, “
283,“S
284,Sc
285,cie
286,ence
287,e w
288,wi
289,il
290,ll
291,l 
292, n
293,not
294,t s
295,sta
296,and
297,d i
298,in t
299,the 
300, w
301,wa
302,ay 
303, o
304,of 
305, re
306,eo
307,op
308,pen
309,ni
310,ing t
311,the s
312,sch
313,ho
314,oo
315,ol
316,ls
