keys,values
00, 
010,e
0110,t
01110,r
011110,o
011111,a
1000,s
1001,i
1010,n
10110,d
101110,l
101111,p
11000,h
11001,m
110100,u
110101,.
110110,c
1101110,"
"
1101111,y
111000,f
1110010,g
1110011,_
1110100,","
1110101,w
1110110,v
11101110,)
11101111,k
1111000,(
1111001,b
1111010,'
11110110,=
111101110,q
111101111,I
11111000,j
111110010,T
111110011,0
111110100,]
111110101,[
111110110,:
1111101110,L
1111101111,X
111111000,S
111111001,#
1111110100,P
1111110101,F
1111110110,1
11111101110,R
11111101111,/
1111111000,x
1111111001,W
1111111010,H
11111110110,z
111111101110,O
111111101111,3
1111111100,-
11111111010,A
111111110110,D
111111110111,8
11111111100,5
111111111010,Y
1111111110110,M
1111111110111,’
111111111100,G
1111111111010,@
1111111111011,2
1111111111100,}
11111111111010,{
11111111111011,U
1111111111110,C
11111111111110,7
11111111111111,6
