keys,values
0000,s
0001,r
00100,c
001010000,x
0010100010,S
0010100011,q
00101001,T
00101010,"
"
00101011000,G
00101011001,F
0010101101,0
0010101110,Y
00101011110,”
00101011111,“
001011,.
0011,i
010,e
0110,n
01110,d
011110,p
0111110,k
0111111,v
1000,a
100100,w
100101,f
10011,l
1010,o
1011,t
110000,g
11000100,’
110001010,M
110001011000,5
1100010110010,j
1100010110011,D
1100010110100,1
1100010110101,$
1100010110110,R
1100010110111,L
110001011100,E
1100010111010,V
1100010111011,)
11000101111,H
110001100,W
1100011010000,N
1100011010001,8
1100011010010,(
1100011010011,3
110001101010,:
1100011010110,P
1100011010111,2
11000110110,C
11000110111,B
11000111,","
11001,h
110100,y
11010100,I
1101010100,—
11010101010,-
11010101011,O
11010101100,z
11010101101,?
1101010111,A
1101011,b
110110,m
110111,u
111, 
