keys,values
0000,r
000100,w
000101000,9
000101001,1
000101010,S
00010101100,z
000101011010,Z
000101011011,W
00010101110,—
00010101111,M
0001011,.
0001100,k
000110100,P
000110101,I
00011011000,R
00011011001,2
0001101101000,0
0001101101001,O
0001101101010,j
0001101101011,5
00011011011,N
0001101110000,‘
0001101110001,:
0001101110010,/
0001101110011,)
00011011101,?
000110111100,F
0001101111010,(
0001101111011,8
00011011111,q
000111,y
001,e
0100,n
0101,i
01100,d
01101,l
0111,s
1000,o
10010,c
100110,g
100111,f
1010,t
1011,a
110000,p
110001000,B
110001001,-
1100010100,H
1100010101,K
110001011,x
110001100,A
110001101,“
110001110,"
"
110001111,C
110010,m
1100110,b
1100111,","
11010,h
110110,u
1101110,v
110111100,T
110111101,”
11011111000,G
11011111001,U
1101111101,D
110111111,’
111, 
