keys,values
00, 
010,e
0110,t
01110,a
01111,o
1000,i
1001,n
1010,s
10110,r
101110,h
101111,d
11000,l
11001,m
11010,c
110110,u
1101110,g
1101111,w
111000,p
111001,f
111010,.
1110110,y
1110111,I
111100,b
1111010,k
1111011,","
1111100,v
11111010,"
"
11111011,’
11111100,A
111111010,T
1111110110,x
11111101110,W
111111011110,M
111111011111,j
1111111000,S
11111110010,?
11111110011,”
1111111010,“
11111110110,q
111111101110,E
111111101111,:
11111111000,-
11111111001,z
111111110100,B
111111110101,—
111111110110,O
1111111101110,9
1111111101111,3
111111111000,)
111111111001,(
1111111110100,P
1111111110101,L
1111111110110,J
1111111110111,1
1111111111000,0
1111111111001,…
11111111110100,N
11111111110101,K
11111111110110,H
11111111110111,G
1111111111100,F
11111111111010,C
11111111111011,6
11111111111100,5
11111111111101,4
11111111111110,2
11111111111111,!
