keys,values
000,e
00100,c
001010,g
0010110,.
00101110,C
001011110000,3
001011110001,P
00101111001,0
0010111101,R
001011111000,)
001011111001,(
00101111101,q
0010111111,J
0011,n
0100,r
0101000,b
0101001000,K
0101001001,U
010100101,T
0101001100,W
0101001101,D
010100111,I
010101,y
01011,d
0110,s
0111,o
1000,t
1001,i
10100000,-
101000010,9
101000011,1
101000100,’
101000101,A
101000110,H
101000111,S
101001,f
10101,h
1011,a
11000,l
110010,p
110011000,M
11001100100,B
11001100101,G
11001100110,F
11001100111,j
110011010,"
"
1100110110,x
1100110111,V
1100111,w
110100,v
110101,m
110110,u
11011100,k
1101110100,”
1101110101,“
11011101100,2
1101110110100,:
1101110110101,Q
1101110110110,/
1101110110111,z
1101110111,—
1101111,","
111, 
