keys,values
00, 
010,e
0110,"
"
01110,t
01111,s
1000,n
10010,a
10011,r
10100,d
10101,o
10110,i
101110,c
101111,'
11000,p
110010,m
110011,f
11010,=
110110,)
1101110,(
1101111,y
111000,l
111001,_
111010,u
1110110,b
11101110,.
11101111,:
1111000,]
1111001,[
1111010,","
11110110,h
111101110,+
111101111,1
11111000,#
11111001,q
111110100,x
111110101,v
111110110,w
1111101110,g
1111101111,D
111111000,C
111111001,8
111111010,/
1111110110,*
1111110111,R
111111100,L
1111111010,F
1111111011,5
1111111100,-
11111111010,}
11111111011,{
11111111100,j
11111111101,<
11111111110,4
111111111110,2
111111111111,!
