keys,values
00, 
010,e
0110,a
01110,t
01111,o
1000,s
1001,i
1010,n
10110,r
10111,h
11000,c
11001,l
11010,d
110110,u
110111,m
111000,p
111001,f
111010,g
1110110,y
1110111,w
1111000,v
1111001,","
1111010,b
11110110,k
11110111,.
11111000,’
111110010,”
111110011,“
111110100,T
111110101,C
111110110,"
"
1111101110,x
1111101111,A
111111000,-
111111001,B
111111010,I
1111110110,P
11111101110,S
11111101111,9
1111111000,1
1111111001,D
1111111010,K
11111110110,H
11111110111,U
11111111000,G
11111111001,q
11111111010,N
111111110110,?
1111111101110,—
1111111101111,z
11111111100,R
111111111010,M
1111111110110,2
1111111110111,W
1111111111000,F
1111111111001,‘
1111111111010,j
11111111110110,Z
11111111110111,O
1111111111100,:
11111111111010,8
11111111111011,5
11111111111100,0
11111111111101,/
11111111111110,)
11111111111111,(
