keys,values
000,e
0010000,1
0010001,-
00100100,’
00100101,A
00100110,T
0010011100,4
0010011101,7
001001111,0
00101,d
0011,r
0100,i
010100,w
0101010,C
01010110,x
0101011100,S
0101011101,E
010101111,M
010110,f
0101110,b
01011110,k
01011111,9
0110,o
0111,t
100000,","
100001,g
100010,v
100011,y
1001,a
1010,s
101100,u
10110100,“
10110101,"
"
1011011000,D
1011011001,W
101101101,K
10110111,”
101110000,I
10111000100,q
10111000101,U
10111000110,P
10111000111,L
10111001000,H
10111001001,N
10111001010,3
10111001011,2
10111001100,6
10111001101,O
1011100111,5
1011101,.
101111,m
11000,l
11001,h
110100,c
110101,p
11011,n
111, 
