keys,values
0000,r
000100,.
0001010000,”
0001010001,“
0001010010,j
0001010011,E
000101010,C
0001010110,1
000101011100,P
000101011101,L
00010101111,z
0001011,k
00011000,T
00011001,I
0001101,","
000111,y
001,e
0100,s
01010,h
01011000,-
0101100100,D
0101100101,2
010110011,A
010110100,S
01011010100,9
01011010101,O
0101101011,B
01011011000,H
010110110010,N
010110110011,6
0101101101,q
010110111,x
010111,g
0110,a
0111,o
1000,n
10010,l
100110,f
100111,p
1010,i
1011,t
11000,d
11001,c
1101000,v
1101001,b
110101,m
11011000000,V
11011000001,R
1101100001,—
1101100010,’
1101100011,M
110110010,"
"
110110011000,K
1101100110010,7
1101100110011,F
11011001101,W
110110011100,)
110110011101,(
1101100111100,;
1101100111101,:
110110011111,0
1101101,w
110111,u
111, 
