keys,values
0000,r
000100,y
000101,w
00011,d
001,e
0100,s
0101000,.
010100100,x
01010010100,O
01010010101,[
0101001011,D
01010011,-
010101,g
01011,l
0110,o
0111,n
100000000,S
1000000010,j
1000000011,M
10000001000,:
10000001001,L
1000000101,P
100000011,“
100000100,”
10000010100,]
10000010101,z
10000010110,1
100000101110,0
100000101111,2
10000011000,U
10000011001,q
1000001101,B
100000111000,H
100000111001,9
10000011101,G
100000111100,K
100000111101,F
100000111110,R
100000111111,&
100001,v
100010,f
100011,m
1001,i
1010,t
1011,a
110, 
11100,h
11101,c
111100,p
111101,u
11111000,k
1111100100,C
11111001010,J
11111001011,N
111110011,’
1111101,","
1111110,b
1111111000,T
11111110010,V
111111100110,3
1111111001110,%
1111111001111,?
111111101,"
"
1111111100,A
1111111101,W
1111111110,I
1111111111000,Y
11111111110010,‘
11111111110011,@
11111111110100,#
11111111110101,7
1111111111011,E
111111111110,)
111111111111,(
