keys,values
0,P
1, 
2,S
3,k
4,m
5,:
6,.
7,5
8,s
9,n
10,l
11,H
12,f
13,r
14,i
15,/
16,u
17,}
18,<
19,E
20,”
21,t
22,U
23,I
24,c
25,w
26,{
27,'
28,x
29,8
30,>
31,0
32,o
33,"
"
34,C
35,d
36,J
37,e
38,L
39,M
40,N
41,T
42,]
43,q
44,A
45,O
46,b
47,g
48,“
49,G
50,2
51,j
52,[
53,-
54,?
55,h
56,R
57,","
58,a
59,!
60,B
61,=
62,’
63,3
64,v
65,p
66,1
67,#
68,4
69,F
70,)
71,W
72,(
73,y
74,He
75,ey
76,y!
77,! 
78, I
79,I 
80, h
81,ha
82,av
83,ve
84,e 
85, m
86,mo
87,ov
88,ved
89,d 
90, my
91,y 
92, b
93,bl
94,lo
95,og
96,g 
97, t
98,to
99,o 
100, my 
101, p
102,pe
103,er
104,rs
105,so
106,on
107,na
108,al
109,l 
110, s
111,si
112,it
113,te
114,e.
115,. 
116, T
117,Th
118,he
119,e “
120,“o
121,of
122,ff
123,fi
124,ic
125,ci
126,ia
127,al”
128,” 
129, v
130,ver
131,rsi
132,io
133,on 
134, o
135,of 
136, th
137,hi
138,is
139,s 
140, po
141,os
142,st
143,t 
144, i
145,is 
146, a
147,ava
148,ai
149,il
150,la
151,ab
152,ble
153,e h
154,her
155,re
156,e:
157,: 
158, ht
159,tt
160,tp
161,ps
162,s:
163,:/
164,//
165,/b
166,blo
167,og.
168,.p
169,psh
170,hr
171,rm
172,mn
173,n.
174,.c
175,co
176,om
177,m/
178,/a
179,a-
180,-l
181,li
182,itt
183,tl
184,le
185,e-
186,-b
187,bi
188,it-
189,-o
190,of-
191,-h
192,his
193,sto
194,or
195,ry
196,y/
197,"/
"
198,"
I"
199,If
200,f 
201, y
202,yo
203,ou
204,u 
205, w
206,wi
207,ish
208,h 
209, to
210,o u
211,un
212,nd
213,de
214,ers
215,sta
216,an
217,nd 
218, R
219,Re
220,ea
221,ac
222,ct
223,t R
224,Ro
225,out
226,ter
227,"r,"
228,", "
229, yo
230,ou 
231, mu
232,us
233,st 
234, f
235,fir
236,rst
237,t s
238,stu
239,ud
240,dy
241,y h
242,hist
243,tor
244,ry.
245,. M
246,Mo
247,ore
248,e s
249,sp
250,pec
251,cif
252,fic
253,ca
254,all
255,ly
256,"y,"
257,", t"
258,th
259,he 
260, hi
261,ist
262,tory
263,y p
264,pa
265,ack
266,ka
267,ag
268,ge
269,"e,"
270,", w"
271,wh
272,hic
273,ch
274,h p
275,pr
276,ro
277,ovi
278,id
279,des
280,s t
281,the
282,e c
283,cor
284,re 
285, fu
286,unc
287,cti
288,ion
289,nal
290,lit
291,ty
292,y f
293,fo
294,or 
295, Re
296,eac
297,ct 
298, Ro
299,oute
300,er.
301,. I
302,It
303,t e
304,en
305,nab
306,bles
307,s p
308,pro
309,oj
310,je
311,ec
312,cts
313,s to
314,o e
315,eas
316,sil
