keys,values
00, 
010,e
0110,t
01110,s
01111,i
1000,o
1001,n
1010,a
10110,r
10111,h
11000,d
11001,l
11010,u
110110,p
1101110,g
1101111,c
111000,y
111001,m
111010,v
1110110,f
1110111,","
1111000,w
1111001,.
1111010,-
11110110,k
11110111,b
11111000,"
"
11111001,’
11111010,1
111110110,I
1111101110,C
1111101111,9
111111000,x
111111001,q
1111110100,—
1111110101,V
1111110110,3
11111101110,”
11111101111,“
1111111000,j
1111111001,S
1111111010,H
11111110110,F
11111110111,A
11111111000,4
11111111001,W
11111111010,U
111111110110,T
111111110111,P
11111111100,N
111111111010,E
111111111011,D
111111111100,B
111111111101,5
111111111110,2
111111111111,0
