keys,values
0000,l
000100,y
000101,	
0001100,W
0001101,b
00011100,<
000111010,:
0001110110,3
0001110111,V
0001111,f
001,e
010000,R
0100010,u
0100011,E
01001,d
0101,n
01100,","
0110100,L
01101010,I
01101011,F
011011,v
0111,t
1000,o
10010000,5
10010001,#
1001001,N
10010100,B
10010101,.
100101100,-
100101101,+
10010111000,M
10010111001,|
10010111010,&
10010111011,k
100101111,}
1001100,H
1001101,S
100111,;
10100,"
"
1010100,=
101010100,j
101010101,{
10101011,p
10101100,w
10101101,T
1010111,2
101100,a
101101,(
101110,)
10111100,0
10111101,g
10111110000,]
10111110001,[
1011111001,U
101111101,>
10111111,m
11000,i
110010,h
110011,_
11010,c
110110,r
110111,s
1110, 
111100,x
111101,C
11111000,/
11111001,P
11111010,G
11111011,1
1111110,O
1111111,D
