keys,values
00, 
010,e
0110,t
01110,o
01111,n
1000,a
1001,i
1010,s
10110,r
10111,h
11000,l
11001,d
11010,u
110110,c
1101110,p
1101111,g
111000,m
111001,y
111010,.
1110110,f
1110111,b
1111000,w
1111001,v
1111010,","
11110110,k
11110111,’
11111000,"
"
11111001,T
11111010,0
111110110,A
1111101110,I
11111011110,x
11111011111,B
111111000,W
1111110010,C
1111110011,Y
1111110100,S
1111110101,P
1111110110,j
11111101110,N
11111101111,?
1111111000,q
11111110010,M
11111110011,H
1111111010,1
11111110110,z
111111101110,O
111111101111,J
11111111000,D
11111111001,—
11111111010,R
111111110110,L
111111110111,G
11111111100,-
111111111010,)
1111111110110,(
1111111110111,”
111111111100,“
1111111111010,5
1111111111011,4
1111111111100,3
1111111111101,2
1111111111110,#
1111111111111,!
