keys,values
00, 
010,e
0110,a
01110,t
01111,i
1000,n
1001,o
1010,s
10110,r
10111,c
1100,h
11010,l
110110,d
1101110,u
1101111,p
111000,m
111001,f
111010,v
1110110,g
1110111,w
111100,y
1111010,b
11110110,","
11110111,.
11111000,k
11111001,-
111110100,"
"
111110101,’
111110110,”
1111101110,“
11111011110,S
11111011111,x
111111000,I
1111110010,W
1111110011,A
1111110100,T
1111110101,C
1111110110,B
11111101110,j
111111011110,P
111111011111,M
1111111000,D
11111110010,V
111111100110,N
111111100111,J
11111110100,z
11111110101,q
11111110110,U
111111101110,G
1111111011110,1
1111111011111,]
11111111000,[
111111110010,L
111111110011,:
111111110100,O
111111110101,3
111111110110,)
111111110111,(
111111111000,R
1111111110010,K
1111111110011,H
111111111010,F
1111111110110,9
1111111110111,2
111111111100,0
1111111111010,&
1111111111011,Y
1111111111100,E
1111111111101,?
11111111111100,%
11111111111101,‘
11111111111110,@
111111111111110,7
111111111111111,#
