keys,values
00000,f
0000100,+
0000101,h
0000110000,<
0000110001,4
0000110010,}
0000110011,{
000011010,F
000011011,5
00001110,x
00001111,v
0001,"
"
00100,m
00101,p
001100,u
001101,_
0011100,[
0011101,","
001111,l
01000,'
01001,i
0101000,]
010100100,-
010100101,*
01010011,q
010101,y
01011,c
01100,o
01101,d
011100000,w
011100001,D
011100010,g
011100011,/
0111001,:
01110100,#
0111010100,!
0111010101,L
011101011,8
0111011,.
011110,)
011111,(
10, 
1100,e
11010,r
110110000,C
1101100010,R
11011000110,j
11011000111,2
11011001,1
1101101,b
110111,=
11100,a
11101,n
11110,s
11111,t
